=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.09.23 18:04:41 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
FastIMU calibration & data example
Keep IMU level.
Calibration done!
Accel biases X/Y/Z: 
0.02, 0.06, 0.02
Gyro biases X/Y/Z: 
1.29, 1.58, 0.08
Setup finished
SampleType: 1 / 2
NumSample: 1 / 30
Press return to start next sample
... Start Reading Sample ...
0	1	16	0.13	0.77	-0.80	19.09	-28.96	13.67
0	1	17	0.09	0.70	-0.84	21.21	-47.52	12.92
0	1	18	0.04	0.62	-0.85	28.27	-59.46	11.24
0	1	19	-0.00	0.54	-0.86	30.15	-66.96	11.61
0	1	20	-0.03	0.50	-0.85	36.65	-73.21	8.42
0	1	21	-0.06	0.44	-0.84	45.40	-75.02	6.42
0	1	22	-0.06	0.40	-0.84	39.84	-75.71	12.86
0	1	23	-0.07	0.40	-0.86	41.15	-79.40	15.99
0	1	24	-0.09	0.36	-0.90	43.34	-84.46	21.11
0	1	25	-0.10	0.31	-0.95	36.15	-91.40	24.92
0	1	26	-0.12	0.27	-0.98	36.02	-94.58	18.86
0	1	27	-0.13	0.23	-0.96	36.46	-94.02	12.17
0	1	28	-0.16	0.20	-0.94	37.46	-95.71	11.92
0	1	29	-0.17	0.15	-0.95	38.02	-88.52	6.55
0	1	30	-0.23	0.07	-0.94	41.02	-78.96	19.49
0	1	31	-0.22	0.04	-0.97	44.21	-87.52	21.11
0	1	32	-0.21	-0.01	-1.02	49.59	-78.40	17.17
0	1	33	-0.21	-0.11	-0.94	57.52	-55.77	8.74
0	1	34	-0.23	-0.13	-0.97	28.84	-55.96	-5.64
0	1	35	-0.25	-0.10	-0.99	34.34	-57.27	5.42
0	1	36	-0.23	-0.14	-0.99	27.59	-46.33	8.67
0	1	37	-0.23	-0.13	-0.99	18.34	-39.77	13.42
0	1	38	-0.23	-0.11	-1.02	16.71	-32.71	13.61
0	1	39	-0.22	-0.11	-1.03	18.02	-21.58	7.05
0	1	40	-0.22	-0.07	-1.02	17.84	-16.77	3.42
0	1	41	-0.21	-0.07	-1.03	12.46	-13.58	7.17
0	1	42	-0.19	-0.07	-1.04	-0.85	-11.40	11.67
0	1	43	-0.19	-0.04	-1.06	-8.23	-6.15	6.17
0	1	44	-0.18	-0.01	-1.04	-1.10	-7.40	6.86
0	1	45	-0.17	-0.01	-1.03	-2.16	-6.15	-0.26
0	1	46	-0.17	-0.02	-1.01	1.52	-4.46	-3.83
0	1	47	-0.17	-0.02	-0.99	-4.54	-2.58	-2.39
