SampleType	NumSample	numItem	accelX	accelY	accelZ	gyroX	gyroY	gyroZ
0	3	36	0.00	0.21	-1.00	0.53	-33.16	2.36
0	3	37	0.01	0.16	-1.00	-0.22	-46.97	-0.33
0	3	38	0.06	0.03	-1.00	-1.40	-39.22	0.73
0	3	39	0.05	-0.12	-1.00	-1.09	-41.66	1.29
0	3	40	0.05	-0.19	-1.00	0.22	-41.10	0.73
0	3	41	0.02	-0.12	-1.00	-0.28	-31.85	1.04
0	3	42	0.05	-0.17	-1.00	-0.59	-22.91	1.48
0	3	43	0.04	-0.23	-1.02	-6.40	-17.85	1.11
0	3	44	0.05	-0.25	-1.01	-18.47	-1.97	-1.27
0	3	45	0.00	-0.20	-0.99	-11.90	0.03	0.61
0	3	46	0.01	-0.19	-0.98	0.22	-1.22	-0.77
0	3	47	0.01	-0.13	-0.98	21.91	-8.22	0.54
0	3	48	0.02	-0.15	-1.05	13.66	-12.79	0.98
0	3	49	0.03	-0.17	-1.00	-3.28	-6.54	0.54
0	4	0	0.00	-0.04	-1.00	-0.15	-7.22	-0.08
0	4	1	-0.00	0.01	-1.00	-0.09	-9.97	0.17
0	4	2	-0.00	-0.03	-1.00	-0.28	-7.35	-0.08
0	4	3	0.00	-0.06	-1.00	-0.15	-4.91	0.04
0	4	4	-0.00	-0.06	-1.00	-0.22	-6.54	0.11
0	4	5	0.02	-0.05	-1.00	-0.09	-8.16	0.23
0	4	6	0.01	-0.09	-1.00	-0.59	-10.72	1.29
0	4	7	-0.01	-0.26	-1.00	0.22	-16.41	0.98
0	4	8	0.03	-0.40	-1.00	-0.53	-4.22	0.54
0	4	9	0.08	-0.28	-1.00	-0.65	-0.60	-1.21
0	4	10	0.05	-0.19	-1.00	1.22	8.15	4.23
0	4	11	0.06	-0.18	-1.00	1.53	-0.47	9.11
0	4	12	0.01	-0.13	-1.00	-2.09	-0.72	3.42
0	4	13	-0.01	-0.19	-0.99	0.47	11.15	-1.46
0	4	14	-0.01	-0.20	-1.00	0.97	33.78	-2.83
0	4	15	0.08	-0.10	-1.00	-0.15	43.71	-0.52
0	4	16	0.08	0.04	-1.00	-1.03	34.84	-1.89
0	4	17	0.01	0.14	-1.00	-1.90	-0.60	-10.33
0	4	18	-0.05	0.13	-1.00	-0.40	-13.47	-1.27
0	4	19	-0.07	0.01	-1.00	-0.84	-5.85	1.17
0	4	20	-0.03	-0.02	-1.00	0.47	20.09	-0.83
0	4	21	-0.01	0.12	-1.00	0.72	39.84	-0.08
0	4	22	-0.01	0.32	-1.00	-1.28	15.53	-0.89
0	4	23	0.00	0.43	-1.00	0.60	4.34	1.36
0	4	24	-0.06	0.32	-1.00	0.35	11.28	0.17
0	4	25	-0.03	0.23	-1.00	-0.34	8.90	-0.77
0	4	26	-0.04	0.28	-1.00	-0.40	12.84	1.17
0	4	27	-0.06	0.37	-1.00	-0.72	9.53	0.11
0	4	28	-0.06	0.36	-0.99	-2.15	-5.97	-0.27
0	4	29	-0.02	0.34	-1.00	1.16	-5.04	0.79
0	4	30	-0.02	0.25	-1.00	0.60	-5.91	-0.46
0	4	31	0.03	0.17	-1.00	0.91	-15.79	-1.33
0	4	32	0.04	0.15	-1.00	-0.22	-22.22	-0.64
0	4	33	0.03	0.14	-1.00	0.66	-26.91	-0.02
0	4	34	-0.01	0.20	-1.00	-2.15	-30.41	1.04
0	4	35	-0.00	0.16	-1.00	0.91	-39.54	0.79
0	4	36	0.01	0.08	-1.00	0.28	-40.22	-0.71
0	4	37	0.02	-0.01	-1.00	0.28	-35.35	1.04
0	4	38	0.02	-0.07	-1.00	-0.03	-28.91	-0.83
0	4	39	0.04	-0.10	-1.00	0.22	-20.29	2.17
0	4	40	0.05	-0.13	-1.00	0.91	-21.60	-0.14
0	4	41	0.05	-0.12	-1.00	-1.15	-19.29	-0.02
0	4	42	0.01	-0.12	-1.00	-2.97	-12.72	-0.64
0	4	43	0.02	-0.16	-0.99	0.78	-17.29	-0.02
0	4	44	0.03	-0.19	-1.01	1.97	-15.79	0.92
0	4	45	0.02	-0.17	-1.00	0.03	-8.41	-0.64
0	4	46	-0.01	-0.14	-1.00	1.78	-8.79	-0.77
0	4	47	0.02	-0.15	-1.00	-0.40	-8.10	0.48
0	4	48	0.02	-0.17	-1.00	-0.34	0.34	-0.08
0	4	49	0.01	-0.15	-1.00	-0.09	-2.22	0.86
0	5	0	-0.00	-0.00	-1.00	-0.15	-1.41	-0.02
0	5	1	0.00	-0.01	-1.00	-0.03	-1.72	-0.02
0	5	2	0.00	-0.00	-1.00	-0.15	-2.10	-0.08
0	5	3	0.00	-0.01	-1.00	-0.03	-3.10	-0.14
0	5	4	0.01	-0.06	-1.00	-0.28	-8.79	-0.14
0	5	5	0.02	-0.12	-1.00	-0.28	-9.47	-0.14
0	5	6	0.02	-0.10	-1.00	-0.09	-5.91	-0.39
0	5	7	0.02	-0.21	-1.00	-0.65	-1.85	-0.52
0	5	8	0.08	-0.39	-1.00	-0.59	-1.22	0.61
0	5	9	0.08	-0.24	-1.00	0.47	7.15	0.92
0	5	10	0.06	-0.18	-1.00	0.85	7.65	0.11
0	5	11	0.07	-0.14	-1.00	0.22	-2.79	1.86
0	5	12	0.02	-0.11	-1.00	0.22	-0.35	7.04
0	5	13	-0.01	-0.12	-1.00	-0.65	11.40	-2.83
0	5	14	0.01	-0.14	-1.00	-0.84	31.53	-6.89
0	5	15	0.02	-0.08	-0.99	-1.03	39.46	0.48
0	5	16	0.00	0.03	-1.00	0.16	35.09	0.79
0	5	17	-0.03	0.09	-1.00	-0.09	22.28	0.48
0	5	18	-0.03	-0.04	-1.00	0.22	19.78	-2.64
0	5	19	-0.00	-0.13	-1.00	-0.34	28.28	1.92
0	5	20	0.04	-0.01	-1.00	0.16	43.53	0.73
0	5	21	0.02	0.13	-1.00	0.35	39.71	-0.33
0	5	22	-0.04	0.24	-1.00	-0.65	28.09	0.23
0	5	23	-0.06	0.18	-1.00	-0.40	17.59	-1.58
0	5	24	-0.06	0.12	-1.00	0.85	21.59	1.36
0	5	25	-0.01	0.16	-1.00	0.03	28.03	-0.52
0	5	26	0.03	0.23	-1.00	0.10	31.59	-1.02
0	5	27	-0.01	0.38	-1.00	0.03	27.03	-1.52
0	5	28	-0.03	0.42	-1.00	-1.03	2.78	0.36
0	5	29	0.00	0.26	-1.01	-5.28	-2.29	-0.02
0	5	30	-0.01	0.24	-0.99	-3.09	4.59	0.42
0	5	31	-0.03	0.26	-1.00	-3.34	3.96	1.11
0	5	32	-0.00	0.37	-0.99	-1.53	-16.10	0.79
0	5	33	0.04	0.29	-1.00	-0.09	-19.41	1.17
0	5	34	0.05	0.20	-1.00	0.91	-23.97	-1.39
0	5	35	0.01	0.21	-1.00	0.28	-21.91	0.17
0	5	36	-0.03	0.21	-1.00	-0.15	-30.35	1.67
0	5	37	0.00	0.12	-1.00	-0.72	-38.29	-0.52
0	5	38	0.00	-0.00	-1.00	-1.15	-41.72	0.48
0	5	39	0.00	-0.06	-1.00	1.66	-44.41	-1.39
0	5	40	-0.01	-0.02	-1.00	2.10	-47.66	3.36
0	5	41	0.02	-0.05	-1.01	1.41	-39.60	-0.46
0	5	42	0.03	-0.09	-1.00	-0.72	-22.10	0.17
0	5	43	0.02	-0.13	-1.00	-0.78	-13.35	-1.64
0	5	44	0.01	-0.16	-1.00	-3.22	-16.16	0.86
0	5	45	-0.02	-0.14	-1.01	-2.22	-8.85	-3.08
0	5	46	0.01	-0.13	-0.97	1.85	-10.60	1.54
0	5	47	0.00	-0.11	-1.02	5.72	-18.97	3.36
